MNO,CHECKNO,SHARE,MSD,DBF,MTLN,MTLN_ROI,TOPLN,TOPLN_ROI,EDULN,EDULN_ROI,EMG2LN,EMG2LN_ROI,CONLN,CONLN_ROI,EMG1LN,EMG1LN_ROI,STLN,STLN_ROI,FLDLN,FLDLN_ROI,MSDLN,MSDLN_ROI,FDLN,FDLN_ROI,SURE1,SURE2,MEDILN,MEDILN_ROI,srno
64358,326820,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,1800,6.00,NULL,NULL,1000,6.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,455
64359,327781,100,1000,15,2500,10.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,456
64360,327490,100,1000,15,NULL,NULL,3600,10.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,457
64361,413712,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,458
64362,218050,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,459
64363,192548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,460
64366,89799,0,-1920,0,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0,NULL,NULL,461
64368,15278,100,1000,15,0,NULL,3600,10.75,0,NULL,1000,6.00,0,NULL,1800,6.00,0,NULL,0,NULL,0,NULL,0,NULL,0,0,NULL,NULL,462
64369,15288,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,1800,6.00,NULL,NULL,1800,6.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,463
64371,115495,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,464
64372,114898,100,1000,15,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0,NULL,NULL,465
64375,325924,100,1000,15,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0,0,NULL,466
52528,107626,0,2000,15,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0,2500,NULL,467
64381,13604,100,1000,15,2700,10.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,468
64393,NULL,100,1000,15,NULL,NULL,2500,10.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,469
64397,NULL,100,1000,15,NULL,NULL,3600,10.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,470
64218,292505,100,1000,15,5600,10.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,471
28154,92242,100,1000,15,NULL,NULL,4200,10.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,472
64222,111961,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,473
27725,91936,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,474
64276,13786,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,475
64277,327803,100,1000,15,NULL,NULL,3600,10.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,476
24732,190799,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,1800,6.00,NULL,NULL,1000,6.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,477
